symbol,records,daily_vol,avg_volume,price_level,buy_signals,sell_signals,total_signals,signal_frequency,avg_rsi,rsi_std,rsi_oversold_pct,rsi_overbought_pct,rsi_extreme_pct,avg_z_score,z_score_std,mean_reversion_opportunities,strong_mean_reversion,total_return,max_drawdown,sharpe_ratio,mean_reversion_score,signal_quality_score,overall_score
DIA,171,0.1914632753907765,3226162.5380116957,449.42,7,6,13,19.157894736842103,52.83185968498767,15.998480799494333,0.09941520467836257,0.1871345029239766,0.28654970760233917,0.18849591094523066,1.3392511312976438,22,7,0.012891593418976832,0.15830488681279187,0.19381310896580586,100,80,90.0
EEM,171,0.19201245902226632,25943019.046783626,50.5,3,5,8,11.789473684210526,57.89492707201951,15.891689339798596,0.03508771929824561,0.21052631578947367,0.24561403508771928,0.6235116301289145,1.144782211947228,14,5,0.18045815801776532,0.15030060120240482,1.3765508332191145,100,90,95.0
EFA,171,0.18755838313305973,14478092.198830409,91.64,4,5,9,13.26315789473684,57.99209906268577,16.246162633083017,0.06432748538011696,0.22807017543859648,0.29239766081871343,0.6820692574953339,1.1587403624989399,15,5,0.17986352517059356,0.1405632115038946,1.4007697262172703,100,90,95.0
VEA,171,0.18181483403227003,13165876.912280701,58.71,3,3,6,8.842105263157894,58.845633282729366,15.756454770844627,0.05847953216374269,0.24561403508771928,0.30409356725146197,0.7722132788919339,1.1246659911973214,18,4,0.18798057466612694,0.13453086183833363,1.495177424551315,100,80,90.0
VTI,171,0.22497060842481834,3718878.7134502926,317.66,9,3,12,17.684210526315788,55.691372929236515,16.631239327465867,0.07017543859649122,0.18128654970760233,0.25146198830409355,0.3836380204621172,1.3195024982219978,22,4,0.06351066322943533,0.19302673086501734,0.516452439009859,100,80,90.0
VWO,171,0.18502026580681968,9228626.099415205,51.79,4,5,9,13.26315789473684,56.94500537341973,16.158578881083447,0.04678362573099415,0.21637426900584794,0.2631578947368421,0.5504421897232078,1.1617039769322055,14,5,0.14833702882483357,0.1452826133677197,1.2004534949673933,100,90,95.0
XLB,171,0.22350772159032123,6178516.187134503,90.98,3,2,5,7.368421052631579,52.25021243480471,15.458737800949024,0.07017543859649122,0.1111111111111111,0.18128654970760233,0.2526634768700094,1.3049968725315944,19,8,0.0008800880088009055,0.18701870187018702,0.11634807044560345,100,70,85.0
XLC,171,0.2163264678617129,5289416.350877193,111.11,6,2,8,11.789473684210526,56.795530386575074,17.79674152724587,0.05847953216374269,0.19298245614035087,0.25146198830409355,0.38552226340354157,1.2966418248555118,17,5,0.11983471074380159,0.1797613365155131,0.8827699119951975,100,80,90.0
XLE,171,0.27499756184238644,17455646.807017542,85.64,3,6,9,13.26315789473684,52.86687547051827,16.763100865301187,0.07017543859649122,0.14035087719298245,0.21052631578947367,0.19253215263171244,1.1717177000899748,13,2,-0.05234037844417394,0.18789501874665232,-0.1508443838882469,100,70,85.0
XLF,171,0.2158453782751305,44224384.94736842,52.76,5,1,6,8.842105263157894,54.52366473993451,15.355167688418664,0.04093567251461988,0.1695906432748538,0.21052631578947367,0.260320958332273,1.2741417835147268,18,3,0.05837512537612821,0.15550839282268947,0.4974392406532901,100,45,72.5
XLI,171,0.2125861854326704,10207170.0,152.48,5,6,11,16.210526315789473,55.59108821825534,17.712066304344795,0.06432748538011696,0.23391812865497075,0.2982456140350877,0.3297373565516536,1.292237410601627,20,8,0.09406615483963532,0.17575628461866213,0.7321899526500353,100,90,95.0
XLK,171,0.308338990893362,5612264.812865497,268.31,7,3,10,14.736842105263158,56.58962759100727,17.099113261367,0.07017543859649122,0.2807017543859649,0.3508771929824561,0.3409695242377252,1.2963157893099797,14,2,0.12395274798927614,0.2565770394000912,0.7132238782405268,100,90,95.0
XLP,171,0.1491451580344431,13609457.029239766,82.63,0,1,1,1.4736842105263157,49.60933392235614,13.370603982666687,0.1111111111111111,0.017543859649122806,0.1286549707602339,0.1657303891996718,1.2000287181417306,12,0,0.017861542251786044,0.08184019370460038,0.2501506239466758,80,25,52.5
XLRE,171,0.1932854181157645,6168554.83625731,41.35,3,1,4,5.894736842105263,52.58210180448252,13.508186962458794,0.04678362573099415,0.08771929824561403,0.13450292397660818,0.23774227359429925,1.186278552195293,10,6,-0.03184265979864198,0.1425571628558096,-0.15192634515970857,80,50,65.0
XLU,171,0.1766122746361745,11284337.116959065,86.47,2,5,7,10.31578947368421,55.50378354788276,11.55196800715928,0.023391812865497075,0.07602339181286549,0.09941520467836257,0.573786684738301,1.0992058719637512,14,6,0.09566649771920921,0.08299646286003023,0.855185242729131,75,80,77.5
XLV,171,0.1859869712991711,10997728.573099416,133.29,3,4,7,10.31578947368421,50.25460789420881,12.752727019682116,0.029239766081871343,0.07602339181286549,0.10526315789473684,0.008976935018819097,1.211758512634008,12,4,-0.0693338919145371,0.13638814016172512,-0.4796846281615423,90,70,80.0
XLY,171,0.2750868185872555,4348249.853801169,229.85,7,2,9,13.26315789473684,50.40325240504069,16.245930766205255,0.09941520467836257,0.0935672514619883,0.19298245614035087,0.028234700861969383,1.2803714947500542,16,2,0.014790286975717493,0.26016396888795457,0.21440474191108497,100,70,85.0
